time,x0,x1,x2,x3,x4,x5,regime_id
0,0.05643249,0.15086278,0.35941156,0.52449524,0.07459370,-0.17811686,0
1,-0.13551155,0.10912831,-0.02936731,0.14857226,0.00186833,-0.10962267,0
2,0.28358498,0.18085160,-0.22478515,-0.28119384,-0.07019429,-0.06155149,0
3,0.53170205,0.79525572,-0.20315100,-0.24391663,-0.28019735,-0.15966527,0
4,0.36843710,0.89100823,-0.28904053,0.22223901,-0.16922555,-0.10374432,0
5,0.52230183,0.79455005,-0.23326265,-0.02815518,-0.35305474,-0.01802332,0
6,0.70338651,0.74826966,-0.05546354,0.37224968,-0.16688559,-0.08249507,0
7,0.99523917,1.11921350,-0.01058429,0.12644588,-0.31344569,0.25813248,0
8,0.79300347,0.86580383,0.31828868,0.13329116,-0.37276969,0.23794047,0
9,0.43561710,0.45648964,0.25614540,0.53119067,-0.16899232,0.22849629,0
10,0.20154032,-0.11199754,-0.05356390,0.17557814,-0.04793606,0.27298102,0
11,0.04536562,-0.18633783,-0.01923594,0.30711965,0.14243184,0.36989925,0
12,-0.08057552,-0.15927966,0.12099922,0.16605700,-0.06570057,0.19131496,0
13,0.45841028,0.20292601,-0.05590728,-0.00897076,-0.21686314,-0.01580195,0
14,0.35224924,-0.01593968,-0.14603460,-0.25990060,-0.11106736,-0.19871167,0
15,-0.22590294,-0.01389206,-0.42680953,-0.26678251,0.30207605,-0.32576131,0
16,-0.05104494,0.37870393,-0.47443295,-0.23587509,0.07195729,0.15702371,0
17,-0.32124240,0.13477210,-0.09425435,-0.17543408,-0.11810428,-0.17318167,0
18,-0.34157849,-0.12443242,-0.18164962,-0.07567659,0.09572061,-0.05396783,0
19,-0.07468212,-0.04340214,-0.22240153,-0.06992817,0.00594758,0.35123411,0
20,-0.10705274,-0.27731456,-0.21669045,0.16556108,0.03947480,0.25262075,0
21,0.02337492,-0.19775106,-0.23669830,-0.04982996,0.13556714,0.12897766,0
22,-0.10441111,-0.12984478,-0.04685793,0.25180949,-0.41262157,0.01839586,0
23,0.08930392,-0.29550478,-0.33257842,0.12892455,0.29378422,-0.26739060,0
24,0.21310101,0.16180936,-0.39802984,0.01611322,0.37418387,-0.02164441,0
25,0.47359012,0.45664945,0.13359113,0.14589387,0.21290335,-0.06362435,0
26,0.31559714,0.70300977,-0.16802180,0.33295679,-0.02234519,0.18071907,0
27,0.85839535,0.67761100,-0.31503611,0.20916199,-0.24741394,-0.00777876,0
28,0.80694021,0.53124173,-0.32301814,0.33230048,-0.33038588,-0.12448596,0
29,1.01501444,0.74953533,-0.58357406,0.41524806,-0.06739719,0.01559670,0
30,0.54285047,0.72809483,-0.14702857,0.16764005,0.23049465,0.07368415,0
31,0.38073302,0.79004679,0.14466809,0.26231244,0.02199994,0.08352722,0
32,0.52027839,0.60225225,0.15210320,0.39175297,-0.24599818,0.01702131,0
33,0.51738425,0.38055631,0.10735166,0.45455836,-0.05656734,0.24726695,0
34,0.68768431,0.47487857,0.52362518,0.28964283,-0.32873443,0.40576614,0
35,0.58993216,0.66506994,0.03634473,0.08444402,-0.36929278,0.04905356,0
36,0.58171043,0.54859817,-0.22691030,-0.21494055,-0.15536623,-0.06170880,0
37,0.47906191,0.55429594,0.02257373,0.12146605,-0.07103993,-0.15604020,0
38,0.47109959,0.63262331,-0.09713514,0.27784203,-0.12041166,-0.09499180,0
39,0.02917838,0.15047085,-0.33161174,-0.17647008,-0.18249462,0.08995043,0
40,0.02461171,0.26225103,0.11380891,-0.07391226,0.13989483,0.05914503,0
41,-0.25074833,-0.24376686,-0.09601939,-0.08666974,0.12004175,0.33772447,0
42,-0.22531392,-0.45569095,0.12151431,-0.12904836,-0.28502973,0.32689599,0
43,-0.31314282,-0.54921577,0.01158894,-0.03796154,-0.05871928,0.21383793,0
44,0.06568020,-0.38265905,-0.21111736,0.08818405,0.00153277,0.30180924,0
45,0.11220769,0.02216475,0.32822829,0.42736109,0.09052046,0.17164267,0
46,-0.16981819,-0.11918583,0.17972220,0.25728285,-0.03674565,-0.20490526,0
47,-0.30043529,-0.32933388,-0.02116419,0.40217924,0.26664651,-0.27013229,0
48,-0.30194805,-0.46094607,-0.03863646,0.18511428,0.13953996,0.06367363,0
49,-0.23840353,0.06742526,0.03791168,0.24541481,0.15938285,0.13466860,0
50,-0.15802103,-0.29110460,0.12539570,-0.12396362,0.20088919,0.25907338,0
51,-0.42013669,-0.23385497,0.05977245,0.07453306,-0.26804981,0.06217753,0
52,-0.70325355,-0.31628438,0.20188352,-0.21933642,-0.27901079,-0.50419439,0
53,-0.10669560,-0.46973892,-0.12879168,-0.20265716,-0.34564821,-0.29209001,0
54,-0.08510158,-0.07241199,-0.06245336,0.00990153,-0.17671653,0.02339730,0
55,-0.03745053,-0.10624736,0.21836473,-0.05469125,0.22585894,-0.06858543,0
56,0.17852782,0.24136604,0.36190598,-0.09736951,-0.11451273,-0.11319442,0
57,-0.26805157,0.21001610,0.03614466,0.21880942,-0.51527907,-0.19514252,0
58,-0.35501540,-0.30270725,-0.06161803,-0.03522903,-0.12783346,-0.05572654,0
59,-0.14692637,-0.23392247,0.02924051,-0.01454886,0.06225767,0.33994483,0
60,-0.17614714,-0.29241778,-0.09405791,-0.27147261,-0.11379788,0.14813068,0
61,-0.10585441,-0.24048068,0.15497767,-0.02422257,-0.07134768,-0.04743328,0
62,-0.16069790,-0.52079560,0.04501173,0.00753673,-0.14718792,0.01172760,0
63,0.03001526,-0.17306444,-0.02290866,0.02277354,-0.38667521,-0.20259338,0
64,-0.11490159,0.02787906,0.30241992,-0.19426683,-0.20698872,-0.05348127,0
65,-0.31729550,-0.00034263,0.44861342,-0.40672735,-0.32535702,-0.10155515,0
66,-0.14558761,-0.11833062,-0.14548261,-0.15808069,-0.26903583,0.18134722,0
67,-0.37821539,-0.17912277,0.11533006,-0.02316251,-0.38197465,0.18265503,0
68,-0.22653604,-0.63815306,0.17350855,-0.26173044,-0.29547135,0.21491528,0
69,-0.29175483,-0.06532841,0.04696017,-0.16199376,0.01912791,-0.00984749,0
70,-0.00119521,0.08121383,0.26367254,-0.33417410,-0.45652912,0.28530908,0
71,0.11450779,-0.12591685,0.12643165,-0.18394616,-0.22496989,-0.06540893,0
72,0.28942728,-0.11499772,0.16636112,0.32928857,-0.04230976,-0.09166835,0
73,0.62518261,-0.04715410,0.08158875,0.14204969,0.41447877,-0.07472620,0
74,0.31007157,0.57999042,0.07608688,0.07722768,0.16483484,0.18289488,0
75,-0.16323458,0.31106192,-0.08649293,0.05694304,-0.04768604,-0.22047625,0
76,-0.11470987,-0.20976336,-0.55089948,0.11743193,0.00401261,-0.23282115,0
77,0.10201711,-0.09555272,0.13223065,0.08948068,0.12881954,-0.14021200,0
78,0.31591911,0.37182586,-0.06813378,-0.01403904,-0.02250629,0.07599960,0
79,0.06774602,0.16827448,0.04416018,0.03991328,0.10690424,-0.36935886,0
80,-0.11386183,-0.33016272,-0.23970252,-0.12971661,-0.02846174,0.02556276,0
81,-0.29151614,-0.15926378,0.08921538,-0.25927376,-0.14960737,0.11263445,0
82,-0.21493408,-0.27084038,0.19172323,-0.37156608,-0.07027906,0.01537152,0
83,-0.81650282,-0.29934068,0.02483130,-0.39190340,-0.07584662,0.21031680,0
84,-1.09938154,-0.83564492,0.32274432,-0.33587035,0.07805688,-0.10571247,0
85,-0.68182393,-0.74151522,0.21638531,-0.47868724,0.11852658,-0.02155898,0
86,-0.62237375,-0.96099065,-0.31421261,-0.20248467,0.24505983,-0.19391330,0
87,-0.58171097,-0.50958861,0.14019504,-0.16381281,0.08830665,-0.25251829,0
88,-0.47050443,-0.60791921,0.37193141,0.09141495,0.26467471,-0.28523823,0
89,-0.13421797,-0.29421364,0.32256211,0.01690861,0.30558355,-0.02032426,0
90,-0.28311651,0.03593892,0.03722870,-0.26179677,0.42018442,0.30160225,0
91,-0.04977311,0.40940352,0.08854102,-0.14736084,-0.16602353,0.21416885,0
92,-0.19910304,0.17792714,0.07433277,0.25118255,0.02833773,0.10339937,0
93,0.10048907,0.01010603,-0.13811019,0.01556217,-0.09828703,-0.17613088,0
94,0.21569999,-0.22301150,-0.12377265,0.21390944,0.17038342,0.10131003,0
95,0.04631368,-0.14308624,0.03102374,0.21406498,0.35211613,0.24593364,0
96,-0.16455793,-0.05068986,0.10982451,0.06138692,0.04546615,0.16188873,0
97,-0.22438671,-0.07040267,0.01356916,0.02147955,0.08093916,-0.12849564,0
98,0.11372180,-0.34304275,-0.40483451,-0.39035257,0.03903662,-0.05523572,0
99,0.05932074,-0.55842943,-0.11983943,0.15905616,-0.23009895,-0.09450129,0
100,-0.19671183,-0.40750187,0.18224365,0.41044167,0.00764188,0.29819526,0
101,0.17000884,-0.45406760,0.17303705,0.17216509,0.72784524,0.29432972,0
102,0.16617389,-0.10531311,0.05634010,0.27986965,0.27772671,0.18941291,0
103,0.09225768,0.01552587,-0.27989518,0.27778726,-0.03502594,-0.16998853,0
104,0.03165520,-0.24156912,-0.01312174,-0.10559761,-0.02104698,-0.18571154,0
105,-0.02238256,-0.28603855,0.08150447,-0.02141049,-0.33254466,-0.44042038,0
106,-0.22983472,-0.36505423,-0.07132494,0.02578288,0.13372698,-0.40839447,0
107,-0.51463378,-0.32271100,0.09792565,-0.13270746,-0.35904593,-0.49996047,0
108,-0.61311912,-0.66460889,-0.06592556,-0.25468956,0.12654376,-0.35825154,0
109,-0.50074246,-0.85567331,-0.04200863,-0.25629378,0.04529849,0.11637429,0
110,-0.06550530,-0.56956537,-0.22136352,-0.23089462,-0.11175294,-0.08025073,0
111,0.03588014,-0.27960448,0.06162357,0.09848825,0.26741240,0.05732183,0
112,-0.09082107,0.10690294,-0.11562205,0.07057693,0.02209575,-0.00278520,0
113,0.23771436,0.33333886,-0.09337549,0.01573786,0.00579701,0.07938045,0
114,0.71966264,0.53582928,0.08341248,-0.13344036,-0.06136040,0.20681289,0
115,0.59657415,0.85696605,0.17305677,0.36764615,-0.07282571,0.03383284,0
116,-0.10416032,0.52538130,-0.57264916,0.00447987,0.01796537,0.10196411,0
117,0.08034938,0.61474622,-0.31566736,0.37592196,-0.07469892,0.12169330,0
