time,x0,x1,x2,x3,x4,x5,regime_id
0,0.05643249,0.15086278,0.35941156,0.52449524,0.07459370,-0.17811686,0
1,-0.25063742,0.00359626,-0.02936731,0.14857226,0.00186833,-0.10962267,0
2,0.11848425,-0.09288305,-0.06692174,-0.19885647,-0.26814734,-0.13940605,0
3,-0.00186688,0.30602337,-0.03836744,0.13193394,-0.18125756,-0.27925323,0
4,-0.14692589,-0.11498676,0.30143685,-0.09623106,0.09330599,-0.29466233,0
5,0.08634652,0.03190673,0.03619470,-0.08709076,-0.10100026,-0.05913363,0
6,-0.06411700,-0.18633790,-0.22780812,0.02115858,0.23696119,0.00081798,0
7,-0.04365098,0.02848632,0.13494171,0.02964721,0.01260362,0.19951901,0
8,0.06518247,0.26671199,0.13870254,-0.22107988,-0.24105403,0.39157429,0
9,0.29121805,0.06645139,0.08296225,0.19418264,-0.34388187,0.02423201,0
10,0.27773415,-0.09310439,0.04123740,0.13001955,0.01654767,0.26481270,0
11,0.15921222,0.15186284,-0.28942972,0.12148015,-0.10471639,-0.09408380,0
12,-0.06633414,-0.01616327,0.01556679,-0.14552867,-0.01382686,-0.13166853,0
13,-0.11703736,0.18580190,0.07316769,0.16437518,-0.06122921,-0.18757183,0
14,-0.05471194,0.00561630,0.02048769,-0.16344904,0.01130866,-0.04767306,0
15,0.39618698,0.36548383,-0.15562164,-0.13186883,-0.29847108,-0.12888493,0
16,0.19434360,0.42207829,-0.22967500,-0.05737917,-0.53899056,-0.09026490,0
17,-0.12224188,-0.02480598,-0.27992815,0.01553319,-0.51511803,-0.30677917,0
18,0.33557165,-0.42514504,-0.39188060,0.30207578,0.41354887,-0.35604200,0
19,0.13668176,0.07416516,0.05597206,0.03704457,0.18168064,-0.02854915,0
20,0.14295623,0.04267896,-0.00606140,-0.19403061,-0.00462473,-0.06145847,0
21,0.06081079,0.01027980,0.06794828,0.14618553,-0.02316255,0.03423559,0
22,0.06545982,-0.01928048,-0.09201241,0.13201682,0.00857053,0.39296969,0
23,0.33807189,0.05439757,-0.08669915,-0.12946657,0.24895344,0.23323800,0
24,0.20024555,-0.08113317,0.18287023,0.12661165,-0.18086507,0.02548775,0
25,0.15737372,-0.02983756,0.03386009,0.08827309,-0.04555544,0.03952140,0
26,0.34889572,-0.45284036,-0.01855133,0.11134672,0.06733150,-0.04824411,0
27,-0.14755187,0.02155324,0.29155963,-0.13302124,0.26423549,-0.08196241,0
28,-0.10032469,-0.12729619,0.04918656,0.13953499,0.13151573,0.27303358,0
29,0.19928970,0.00422630,0.39891769,0.10568643,0.22943754,0.07580969,0
30,0.11711137,-0.02084734,0.37140026,-0.11373604,0.21589244,0.00155400,0
31,0.23585582,0.25566587,0.49164429,0.11983543,-0.25652513,-0.01131626,0
32,-0.08763377,-0.03055095,0.48591939,0.22908956,-0.19557589,-0.18782369,0
33,0.01726088,-0.36974173,0.04961971,0.12183033,0.21982846,0.02070373,0
34,-0.37977786,-0.02985971,0.03962247,0.12755619,0.42397987,-0.36158642,0
35,-0.23799681,0.05046557,-0.35112973,0.20825809,0.19548408,-0.01870827,0
36,-0.15842079,0.08223635,0.03334418,0.05665992,0.12565505,0.03980951,0
37,-0.20957586,-0.03407807,-0.00353270,0.04642578,0.20872402,-0.17169966,0
38,-0.10013091,0.22934182,-0.17523827,-0.18915985,0.09925778,0.07074548,0
39,-0.07920144,0.35405444,0.09346056,0.04832937,0.04499259,0.45245250,0
40,-0.05983252,-0.27325551,0.43490139,-0.08577089,-0.01305285,0.44980800,0
41,-0.33126478,-0.31570643,0.00766509,-0.19383495,0.09819962,0.30719138,0
42,-0.12882109,-0.39313440,-0.34117045,-0.16088873,-0.05855808,0.22804449,0
43,0.03904653,-0.12103664,0.03947925,-0.05891172,0.10540387,-0.01893640,0
44,-0.02837112,0.05315270,0.16068859,-0.08307249,0.12271859,-0.05681120,0
45,-0.05034150,0.21118548,-0.30116336,-0.27425596,-0.26573366,-0.44693250,0
46,-0.20038246,0.18321198,-0.28760788,-0.08709458,0.04229316,0.02750655,0
47,-0.11414777,0.26820247,-0.10369997,-0.24205189,-0.14470538,-0.25348118,0
48,-0.25801714,0.00530708,0.04016413,0.18165422,-0.37653820,-0.04923183,0
49,-0.25685144,-0.14881109,-0.01732944,-0.33102110,0.12191133,-0.13219536,0
50,-0.27231462,-0.21104133,-0.15607405,-0.12674841,-0.05842162,-0.00339228,0
51,-0.07481901,0.09320263,-0.13122473,-0.39325214,0.18227282,-0.06127301,0
52,0.08726262,0.22270069,-0.09561324,-0.11390187,0.28990394,0.34486368,0
53,0.02504708,0.23797688,0.23162732,-0.17246356,0.06629157,0.15852531,0
54,0.03089737,-0.00299564,-0.14733182,-0.43419383,-0.26089025,-0.00755146,0
55,-0.13064214,0.39727642,0.13244074,-0.33602443,-0.09367457,-0.07684724,0
56,-0.17585134,0.17682121,0.15194913,-0.23097802,0.03465006,-0.24191102,0
57,-0.12041002,0.53275646,0.05094737,0.11675176,-0.05436544,-0.00992619,0
58,-0.03599663,0.05609127,-0.12017224,0.08941367,-0.21986673,0.11510853,0
59,0.19903829,-0.01049843,-0.07774284,0.10683514,-0.09370164,0.22286487,0
60,-0.22438467,-0.04861543,-0.34087712,-0.17036968,0.24990014,0.26658722,0
61,-0.25861508,-0.25144528,-0.62188829,-0.22887996,0.46127530,0.20442138,0
62,-0.25632388,0.09780888,-0.50742830,-0.21741503,0.10885960,0.08122882,0
63,-0.00990493,0.09106116,-0.08433036,-0.28262162,0.12256220,0.33164404,0
64,-0.23781990,-0.02893106,0.28024721,-0.14896413,0.20309923,0.07726899,0
65,0.13167458,0.02633176,0.18783155,0.15524461,-0.04827384,-0.13284028,0
66,0.00657306,0.08228801,-0.22993490,0.21349381,-0.07697037,0.14374968,0
67,-0.38360941,-0.18771782,-0.37147750,-0.06246879,0.06273398,0.03575785,0
68,-0.21851640,-0.18684254,-0.11869528,-0.31514698,0.15576315,0.13619957,0
69,-0.08761369,0.08762061,0.03268104,0.17970349,-0.02305157,0.00917115,0
70,-0.13458775,-0.23904828,-0.20748412,-0.11382967,0.00923104,0.06451268,0
71,-0.07066762,-0.22942404,0.08562346,0.04988788,-0.01610964,-0.08699917,0
72,0.07969543,-0.08127156,-0.24313864,-0.01258239,0.08942491,-0.20311083,0
73,0.06475190,-0.23354068,0.08630908,0.24228571,-0.01575329,-0.03068503,0
74,-0.35616768,-0.32713512,-0.02198838,-0.07883224,0.21482629,0.34499401,0
75,-0.37668373,-0.29916859,0.11273997,0.15771412,-0.13967122,0.20806879,0
76,0.20382770,-0.59983858,-0.13266627,-0.12086309,-0.04462208,0.24472103,0
77,0.10317596,-0.42540005,0.09112513,-0.09385656,0.28279961,0.00282993,0
78,-0.09121176,0.09569116,0.17811553,0.07285479,-0.19618768,0.09818525,0
79,-0.20895806,-0.02948901,-0.15504854,0.08323688,-0.18767920,-0.18441550,0
80,0.05880900,-0.10911216,-0.22158715,0.23478283,-0.09862279,-0.08148129,0
81,0.12197820,-0.21298511,-0.03168881,0.01347729,-0.02711788,0.20672083,0
82,-0.13365959,-0.47237408,0.32397460,0.49883959,-0.04385653,-0.25081587,0
83,-0.00733085,-0.38765524,0.05030197,-0.04118719,0.27800452,-0.02426829,0
84,-0.28065561,0.08412486,0.38600610,0.01259162,0.05155575,-0.03704371,0
85,-0.00357359,-0.36896549,0.19099565,-0.14499354,0.33439313,-0.04887922,0
86,0.26842821,-0.19150322,0.17848194,-0.00083320,-0.05756285,0.00880291,0
87,0.32993536,-0.04427377,-0.22390612,0.07272465,-0.14670236,-0.05745606,0
88,0.13799964,-0.26738567,-0.40275897,0.20919652,-0.10424800,-0.48884071,0
89,0.24249774,-0.07165006,-0.41929293,-0.11515931,0.21432226,-0.16842373,0
90,0.50585176,0.22230505,-0.15394965,-0.00671244,0.18046663,0.03282156,0
91,0.43469998,0.20064421,-0.13855888,0.05473563,0.14807841,0.28523772,0
92,0.10999082,0.16248833,0.06169041,0.10082303,0.18686743,-0.27035277,0
93,-0.08190173,-0.02573811,-0.45322054,-0.10237342,-0.12431540,-0.16412281,0
94,0.14480960,-0.08812123,-0.42322679,-0.07397075,0.14157567,-0.25333127,0
95,-0.11901946,0.17849487,-0.28504488,0.12842538,0.02627704,0.00642962,0
96,-0.20907057,-0.01037605,-0.16196833,-0.20189196,-0.27357778,0.12647716,0
97,-0.19248645,-0.28164938,-0.05929991,0.06388119,-0.51630268,-0.20954923,0
98,-0.23297952,-0.04976971,-0.02386862,0.10871396,-0.26515622,-0.30066976,0
99,0.00624241,-0.18432542,0.01850177,-0.05696045,0.02201835,-0.11380775,0
100,0.13069514,0.10826470,-0.30983353,-0.42525028,0.20035365,0.15993962,0
101,-0.21812418,-0.09332994,-0.08151864,0.03657366,0.25690763,0.16861287,0
102,-0.15015944,-0.20454149,0.00528020,-0.10134381,-0.10222039,0.44855929,0
103,0.23757772,0.08527813,-0.05935603,0.07121098,0.10012209,0.29190492,0
104,0.33882270,0.23184792,0.17478748,0.21024606,0.08713113,-0.18292811,0
105,0.20018147,0.06039702,-0.19583538,0.48203201,0.34317977,0.15810284,0
106,0.23009618,0.30188054,-0.04739586,0.28387083,-0.01985332,0.14626863,0
107,0.16607891,-0.13601165,0.00384726,0.16318394,0.33727539,0.23016895,0
108,0.10537060,0.10763420,0.06305479,0.07513114,-0.06122283,0.08172068,0
109,-0.07468718,-0.19012103,0.13874999,0.13004226,-0.33484038,0.01658489,0
110,0.17528126,-0.01997698,0.24960507,0.03719922,-0.16991450,-0.18721825,0
111,0.14284425,0.06585193,0.29821045,0.26246773,-0.05087779,-0.31254391,0
112,0.05693864,0.02868227,0.02244485,0.04028087,0.08307982,-0.23860013,0
113,-0.08090676,0.09705108,-0.11783213,0.07602702,0.07270709,-0.31799666,0
114,-0.10444887,0.26313272,-0.33484783,-0.37391913,-0.31624602,-0.14522804,0
115,-0.11610547,0.03702611,0.03738990,-0.65856296,-0.12420168,0.21234070,0
116,-0.38901666,0.03706359,-0.06978794,-0.45425392,-0.24056195,0.35742151,0
117,0.07368815,-0.13113208,0.39510216,-0.28360020,0.15343596,0.15232890,0
118,-0.00497321,0.16195110,0.78154188,0.06205713,-0.13653602,0.24649773,0
119,-0.05423282,-0.09034398,0.56493577,0.02871224,0.00870977,0.11915372,0
120,0.04398635,0.02398239,-0.07220693,0.11593355,-0.15467571,-0.20323337,0
121,0.03204455,-0.03353714,-0.20378437,0.20789910,-0.25415574,-0.16941467,0
122,-0.04847498,-0.12996713,-0.07885899,-0.09014743,0.12466785,-0.06882224,0
123,-0.37959027,-0.35431645,-0.05291521,-0.08916965,0.00897834,-0.03760175,0
124,-0.13621312,-0.04788019,-0.23202723,-0.35397809,-0.16125562,0.03421282,0
125,0.09335105,-0.09361836,-0.54455467,-0.48530840,-0.25882691,-0.08420257,0
126,-0.13603519,0.06099038,-0.31547635,0.02356198,-0.27527419,-0.19505972,0
127,0.03443494,-0.38370246,-0.11405002,-0.01085196,-0.09277449,0.19359246,0
128,-0.09991600,0.23621854,-0.04589016,-0.22437517,0.04715199,-0.10212117,0
129,-0.22384433,0.18336209,0.05610097,-0.22904672,0.10222925,0.16003029,0
130,0.11738784,0.16412960,0.30725356,-0.49263393,-0.11331885,-0.08033873,0
131,-0.03257925,0.08395463,0.08676870,0.17740162,-0.19181630,0.03646840,0
132,-0.01830907,-0.06733839,0.04775773,0.14156836,0.19354215,0.31378683,0
133,0.07768867,0.09488568,-0.11332012,0.03494040,0.25508552,0.30435020,0
134,0.07776547,0.27703998,0.10904420,0.25192406,0.10334202,0.07998499,0
135,0.14550689,-0.44730884,0.13550087,-0.53505795,-0.27205128,0.11916518,0
136,0.03476654,-0.24266021,-0.04085490,0.07652277,-0.20142825,0.46011155,0
137,0.03013452,-0.06716018,0.37979647,0.06370283,-0.17212228,0.19796200,0
138,0.01946071,-0.31996436,0.16714518,-0.09985906,0.15190230,0.09990066,0
139,-0.06366351,-0.04927716,0.13695219,0.07708147,-0.11964949,-0.14021535,0
140,0.18842256,-0.16378322,-0.22724860,0.09227766,0.08110822,-0.34187504,0
141,0.13910909,0.14225877,-0.11201188,0.20372976,-0.18889230,-0.10217924,0
142,0.04607406,-0.09653890,0.08366223,0.38629375,0.30454246,0.18831683,0
143,0.08017938,0.03292624,0.21856554,0.18758156,0.19395541,0.23738224,0
144,0.06194345,-0.08817801,0.07672851,0.21101340,0.08165677,0.17356096,0
145,0.19052659,-0.10611177,0.21018488,0.16918518,-0.14299050,0.34173944,0
146,0.02461811,-0.34905709,-0.01625288,-0.06281893,0.03111712,0.11240922,0
147,-0.06349982,0.03156176,0.08010008,0.03904848,0.11945494,0.16409339,0
148,-0.39773167,-0.05443726,-0.31908934,0.00389559,0.03021814,0.26584058,0
149,0.04885049,-0.10908503,-0.16891582,-0.02405986,-0.07907863,0.12553824,0
150,0.19283260,-0.13439985,0.09975688,0.12629248,-0.17868339,0.23470241,0
151,0.23249083,-0.03998106,-0.03883053,-0.04998704,-0.08850378,0.20872214,0
152,-0.08557868,0.13350392,-0.19219099,0.00952115,-0.00549650,0.53888537,0
153,-0.28158827,0.27506976,0.06735773,0.05347580,0.00201657,0.33503751,0
154,-0.13382733,0.24181814,0.02523311,0.14498738,-0.14508737,0.14768579,0
155,-0.21841900,0.03838065,0.30550055,0.00538621,-0.07223110,-0.13074994,0
156,-0.13116388,-0.36955403,-0.06010902,-0.01906563,0.21648046,0.44379045,0
157,-0.16422687,0.15805599,0.12036816,-0.07200211,0.17845304,0.22113518,0
158,-0.06361120,-0.01161154,-0.14734246,-0.35294153,0.11789089,0.05482946,0
159,-0.20756507,0.09750273,0.09091824,-0.12510047,-0.16902988,0.24667662,0
160,0.17161449,0.03568489,0.27253269,0.11517089,0.12227691,0.22725888,0
161,0.20328529,0.16747053,-0.02476834,0.22037977,-0.19585779,-0.03549485,0
162,0.36540976,0.16545745,0.24858826,0.09592574,-0.22749240,-0.06007394,0
163,0.19068236,0.10581552,0.29960466,0.07663865,0.00843006,-0.20637833,0
164,0.17653275,0.08245022,-0.05090075,0.04198392,-0.03000334,-0.14628084,0
165,0.40117826,0.05014783,-0.10025743,-0.31082323,-0.17077122,-0.11656954,0
166,-0.02123884,0.43358811,-0.10088857,0.22297027,-0.10504126,-0.04845670,0
167,0.02176515,0.04849863,0.25370844,-0.33542840,-0.39945706,-0.12069921,0
168,-0.05841697,0.12368320,0.16888698,-0.19556690,0.01022746,0.12832341,0
169,-0.03208422,0.24562799,0.15322793,-0.19495375,0.06523743,0.08062970,0
170,-0.05387225,0.40059415,-0.35496712,-0.34135089,-0.27988753,-0.02723502,0
171,-0.13961789,-0.14991022,-0.33997748,-0.30517094,0.24164057,0.31142664,0
172,-0.19607289,-0.01845067,-0.28433028,-0.50372822,-0.01231271,-0.03225429,0
173,-0.20225311,-0.23650963,-0.26985998,-0.22802359,-0.04737687,0.05988305,0
174,-0.36962344,0.05355705,-0.24899279,-0.03364095,-0.02817011,-0.21941463,0
175,-0.21797119,-0.04175012,-0.05023156,-0.14362268,0.25368012,0.07753058,0
176,-0.16704394,0.15268152,0.34394858,0.23422955,-0.18960577,-0.13009048,0
177,0.24662888,-0.30876721,-0.11676259,-0.04236173,0.06231933,-0.07998688,0
178,-0.02318254,-0.10955336,-0.19820178,-0.10502999,0.46195306,0.01570426,0
179,0.12800591,0.02076008,-0.11711814,-0.17653645,-0.37979592,-0.24061082,0
180,-0.30946494,-0.41320686,-0.32256916,0.20505863,-0.13681727,0.11845063,0
181,-0.01212404,-0.18683609,-0.27674122,0.08749635,0.20878744,-0.04774872,0
182,0.11395108,0.07202607,-0.23187668,-0.17095664,-0.11795449,-0.00702247,0
183,0.07061758,-0.06942226,-0.09896415,0.06747815,0.03523306,0.27601557,0
184,0.27338580,-0.18614742,0.32350018,-0.04885358,0.22172509,0.14284106,0
185,0.02952509,-0.21995338,0.14473126,-0.22237609,0.24145970,0.34061139,0
186,-0.17761536,0.11523720,0.01219653,-0.19264119,0.17730496,0.15423165,0
187,0.19886258,-0.01306911,0.22103574,-0.10904017,0.12262664,-0.00750993,0
188,0.05115851,0.10350708,-0.05488690,0.13253853,0.12225465,0.10328634,0
189,0.32567139,0.31135569,-0.06769887,0.13406252,-0.07041161,0.05307639,0
190,0.05577280,0.44981828,0.04796500,0.10621317,0.18199405,-0.36559639,0
191,-0.31709986,0.33000062,-0.05281467,0.10289814,-0.24166833,-0.17717287,0
192,0.24999858,0.05541400,-0.03381921,-0.12839259,-0.15247588,-0.46708926,0
193,0.12371865,0.24616272,-0.40687651,-0.09882135,-0.28011471,-0.39477783,0
194,0.04052838,-0.30471284,-0.16021636,0.13176114,-0.16804965,-0.63332624,0
195,-0.13492990,0.05832351,-0.71753939,0.00103339,-0.17473939,-0.15485102,0
196,-0.17753087,-0.00205327,-0.25015425,0.29261823,-0.08467024,-0.00558353,0
197,-0.28013374,0.05619281,-0.24835683,-0.03568123,0.04295370,-0.28396116,0
198,-0.08301235,0.11773946,-0.12253280,-0.37964389,-0.02908285,-0.00079791,0
